# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -126.1108713122494
40.0 -126.7054740395751
50.0 -126.9042695675424
60.0 -126.9640390638766
70.0 -126.9797568306973
80.0 -126.9826963005286
90.0 -126.9829185387036
100.0 -126.9831304923635
120.0 -126.9840316073036
150.0 -126.9843860112746
200.0 -126.9851892764659

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -126.0481587391977
40.0 -126.6683323228322
50.0 -126.8848543904562
60.0 -126.9549816318238
70.0 -126.9758759191842
80.0 -126.9808963446453
90.0 -126.9816921934141
100.0 -126.9819939648175
120.0 -126.9833459900924
150.0 -126.985096946018
200.0 -126.9861075446012

# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry)
30.0 -125.9042838816817
40.0 -126.5745618377454
50.0 -126.8286061940824
60.0 -126.9230401675101
70.0 -126.9587277508707
80.0 -126.9718117894497
90.0 -126.9760839476099
100.0 -126.9771311927478
120.0 -126.9772849061136
150.0 -126.9776586531377
200.0 -126.9779687116711

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -125.9619138241329
40.0 -126.6099432931975
50.0 -126.8479628733092
60.0 -126.932592685828
70.0 -126.9625954461898
80.0 -126.9725886672546
90.0 -126.9753819246695
100.0 -126.975884250228
120.0 -126.9759834125951
150.0 -126.9763997589022
200.0 -126.9765495491862

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -125.9619303127081
40.0 -126.609961130788
50.0 -126.8479814536214
60.0 -126.9326116712556
70.0 -126.9626146627138
80.0 -126.972608016525
90.0 -126.9754013444235
100.0 -126.9759036990187
120.0 -126.9760028547097
150.0 -126.9764191570801
200.0 -126.976568921928

# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry)
30.0 -126.1108713123941
40.0 -126.7054740397728
50.0 -126.9042695677566
60.0 -126.9640390640963
70.0 -126.9797568309184
80.0 -126.9826963007501
90.0 -126.982918538925
100.0 -126.9831304925846
120.0 -126.9840316075247
150.0 -126.9843860114957
200.0 -126.9851892766873

# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -126.0481587382863
40.0 -126.6683323218714
50.0 -126.884854389475
60.0 -126.9549816308342
70.0 -126.9758759181906
80.0 -126.98089634365
90.0 -126.981692192419
100.0 -126.981993963823
120.0 -126.9833459891002
150.0 -126.9850969450277
200.0 -126.9861075436126

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -126.1108713122494
40.0 -126.7054740395751
50.0 -126.9042695675424
60.0 -126.9640390638766
70.0 -126.9797568306973
80.0 -126.9826963005286
90.0 -126.9829185387036
100.0 -126.9831304923635
120.0 -126.9840316073036
150.0 -126.9843860112746
200.0 -126.9851892764659

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -126.1109216974916
40.0 -126.7055315897472
50.0 -126.904329450665
60.0 -126.964099544152
70.0 -126.9798174660183
80.0 -126.9827569310877
90.0 -126.9829790732784
100.0 -126.9831909195109
120.0 -126.9840919569158
150.0 -126.9844462848131
200.0 -126.9852496577984

