# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -576.6508331932233
40.0 -585.5296316007737
50.0 -587.7211988246918
60.0 -588.1227319591559
70.0 -588.1701067667613
80.0 -588.1729711191837
90.0 -588.1734064133861
100.0 -588.173543662269
120.0 -588.1737782830811
150.0 -588.1739763141258
200.0 -588.1742343246422

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -576.4688586312636
40.0 -585.4722031146417
50.0 -587.6845186858749
60.0 -588.0822079394183
70.0 -588.1266657832757
80.0 -588.128601948592
90.0 -588.1288789007508
100.0 -588.1290450594407
120.0 -588.1292689279983
150.0 -588.1294544459837
200.0 -588.1297526835498

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -576.3685327928322
40.0 -580.7678523020074
50.0 -581.4609497718174
60.0 -581.5286017082024
70.0 -581.5330587568488
80.0 -581.5339960333455
90.0 -581.5343058253283
100.0 -581.5348345228402
120.0 -581.5359873277664
150.0 -581.5361871310897
200.0 -581.5362661126626

# pseudopotential: pd04s
# ecutwfc (Ry) | energy (Ry)
30.0 -576.4688586270603
40.0 -585.4722031107872
50.0 -587.684518682239
60.0 -588.0822079359831
70.0 -588.1266657796808
80.0 -588.1286019450023
90.0 -588.128878897156
100.0 -588.1290450558512
120.0 -588.1292689244133
150.0 -588.1294544423953
200.0 -588.1297526799582

# pseudopotential: pd04s-high
# ecutwfc (Ry) | energy (Ry)
30.0 -571.0002931192325
40.0 -587.0726814463549
50.0 -593.4839650403608
60.0 -595.7247408037321
70.0 -596.3859434924628
80.0 -596.5430177445031
90.0 -596.5701411599227
100.0 -596.5727182407296
120.0 -596.5728952726371
150.0 -596.5730097851934
200.0 -596.5731459972038

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -576.3685390785106
40.0 -580.7678593829138
50.0 -581.460957158732
60.0 -581.5286091729619
70.0 -581.533066227183
80.0 -581.5340034978984
90.0 -581.5343132873888
100.0 -581.5348419863676
120.0 -581.5359947973709
150.0 -581.5361946025484
200.0 -581.5362735823135

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -576.466341017914
40.0 -585.4696383376698
50.0 -587.6819404997804
60.0 -588.0796265943507
70.0 -588.1240838980829
80.0 -588.1260200235947
90.0 -588.1262969807932
100.0 -588.1264631396817
120.0 -588.126687010237
150.0 -588.1268725276242
200.0 -588.1271707628966

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -576.4688586312636
40.0 -585.4722031146417
50.0 -587.6845186858749
60.0 -588.0822079394183
70.0 -588.1266657832757
80.0 -588.128601948592
90.0 -588.1288789007508
100.0 -588.1290450594407
120.0 -588.1292689279983
150.0 -588.1294544459837
200.0 -588.1297526835498

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -576.6508331807436
40.0 -585.5296315874489
50.0 -587.7211988108193
60.0 -588.1227319453574
70.0 -588.1701067527827
80.0 -588.1729711053754
90.0 -588.173406399419
100.0 -588.1735436484561
120.0 -588.1737782691068
150.0 -588.1739763001483
200.0 -588.1742343108327

