# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -1876.67976802251
40.0 -1882.409991703073
50.0 -1883.048385181459
60.0 -1883.150941969458
70.0 -1883.168614915942
80.0 -1883.170893881833
90.0 -1883.171064479643
100.0 -1883.171114908949
120.0 -1883.171157145206
150.0 -1883.171352734259
200.0 -1883.171639143219

# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry)
30.0 -1876.580516130634
40.0 -1882.31947312419
50.0 -1882.962802029226
60.0 -1883.067529882217
70.0 -1883.08599741086
80.0 -1883.088504391859
90.0 -1883.088720503072
100.0 -1883.088774768938
120.0 -1883.08881771504
150.0 -1883.089012350715
200.0 -1883.089298981435

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -1876.679767896174
40.0 -1882.409991562519
50.0 -1883.048385033675
60.0 -1883.150941819247
70.0 -1883.168614763644
80.0 -1883.17089372994
90.0 -1883.171064327527
100.0 -1883.171114754755
120.0 -1883.171156991923
150.0 -1883.171352580455
200.0 -1883.171638990844

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -63.03316479568506
40.0 -63.04037387549106
50.0 -63.04056311929473
60.0 -63.04063833290082
70.0 -63.0407301052661
80.0 -63.04087802458896
90.0 -63.0409281446132
100.0 -63.0409806446145
120.0 -63.04121200756436
150.0 -63.0413546674714
200.0 -63.04174841971669

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -63.03156903205313
40.0 -63.038787358993
50.0 -63.03897672355645
60.0 -63.03905201248996
70.0 -63.03914382735262
80.0 -63.03929184548899
90.0 -63.0393420063876
100.0 -63.03939453227329
120.0 -63.03962603151962
150.0 -63.0397687726102
200.0 -63.04016274922121

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -63.03316479568506
40.0 -63.04037387549106
50.0 -63.04056311929473
60.0 -63.04063833290082
70.0 -63.0407301052661
80.0 -63.04087802458896
90.0 -63.0409281446132
100.0 -63.0409806446145
120.0 -63.04121200756436
150.0 -63.0413546674714
200.0 -63.04174841971669

# pseudopotential: pd04sp
# ecutwfc (Ry) | energy (Ry)
30.0 -1962.18025531482
40.0 -2013.890936135044
50.0 -2029.868412697962
60.0 -2033.453260479446
70.0 -2034.001720495569
80.0 -2034.044098850818
90.0 -2034.044947054877
100.0 -2034.045203742648
120.0 -2034.045374408954
150.0 -2034.045562342321
200.0 -2034.045779901996

# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -63.03312697300384
40.0 -63.04087418891955
50.0 -63.04112519946536
60.0 -63.04134070764756
70.0 -63.04147594437676
80.0 -63.04163987116021
90.0 -63.04170847645995
100.0 -63.04176628677275
120.0 -63.04198537935296
150.0 -63.04209724813028
200.0 -63.04242443284678

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -63.03312697312192
40.0 -63.04087418752918
50.0 -63.0411251995851
60.0 -63.04134070776763
70.0 -63.04147594449774
80.0 -63.04163987128122
90.0 -63.04170847658082
100.0 -63.04176628689377
120.0 -63.04198537947778
150.0 -63.04209724825498
200.0 -63.04242443297088

# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry)
30.0 -63.03316479567996
40.0 -63.04037387547982
50.0 -63.04056311928009
60.0 -63.04063833288669
70.0 -63.04073010525144
80.0 -63.04087802457398
90.0 -63.0409281445984
100.0 -63.04098064459964
120.0 -63.04121200754927
150.0 -63.04135466745645
200.0 -63.04174841970168

