# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
20.0 -4652.71418485924
30.0 -4764.846176054065
40.0 -4808.356604264924
50.0 -4825.513238701451
60.0 -4830.752716475879
70.0 -4832.201260357667
80.0 -4832.429789097549
90.0 -4832.457058815144
100.0 -4832.458881714504
150.0 -4832.459592634297
200.0 -4832.459912471678

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
20.0 -4652.881857123069
30.0 -4764.7886723569
40.0 -4808.137497009558
50.0 -4825.265171053282
60.0 -4830.493986801867
70.0 -4831.931153530893
80.0 -4832.155925828679
90.0 -4832.182377912773
100.0 -4832.184041525801
150.0 -4832.1846118598
200.0 -4832.184823652075

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
20.0 -4653.450789038263
30.0 -4765.267243495326
40.0 -4808.583613013276
50.0 -4825.707728096524
60.0 -4830.938950622
70.0 -4832.378147946055
80.0 -4832.603533121681
90.0 -4832.630135716995
100.0 -4832.63181734278
150.0 -4832.632388763913
200.0 -4832.632600298518

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
20.0 -4652.881857123069
30.0 -4764.7886723569
40.0 -4808.137497009558
50.0 -4825.265171053282
60.0 -4830.493986801867
70.0 -4831.931153530893
80.0 -4832.155925828679
90.0 -4832.182377912773
100.0 -4832.184041525801
150.0 -4832.1846118598
200.0 -4832.184823652075

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
20.0 -4652.714184870621
30.0 -4764.846176065033
40.0 -4808.356604272967
50.0 -4825.513238709469
60.0 -4830.752716483745
70.0 -4832.201260365763
80.0 -4832.429789102753
90.0 -4832.457058823207
100.0 -4832.45888172429
150.0 -4832.45959264148
200.0 -4832.45991247955

# pseudopotential: pd04sp
# ecutwfc (Ry) | energy (Ry)
20.0 -4652.881857148396
30.0 -4764.788672381656
40.0 -4808.137497033114
50.0 -4825.265171076516
60.0 -4830.493986821447
70.0 -4831.931153550377
80.0 -4832.155925847448
90.0 -4832.182377929764
100.0 -4832.184041544645
150.0 -4832.184611880447
200.0 -4832.184823670874

# pseudopotential: pd04sp-high
# ecutwfc (Ry) | energy (Ry)
20.0 -4715.390099817846
30.0 -4847.406141262431
40.0 -4904.122849625923
50.0 -4932.81746692942
60.0 -4946.793358348127
70.0 -4954.408310072032
80.0 -4957.400392752311
90.0 -4958.578011771748
100.0 -4958.910366252788
150.0 -4959.00216106994
200.0 -4959.002784435381

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
20.0 -4488.755356689333
30.0 -4552.097733995882
40.0 -4559.017702417079
50.0 -4559.253077777792
60.0 -4559.255400414137
70.0 -4559.255939396334
80.0 -4559.256843836974
90.0 -4559.257247447094
100.0 -4559.257275798336
150.0 -4559.257291575757
200.0 -4559.257299214181

# pseudopotential: sg1510fr
# ecutwfc (Ry) | energy (Ry)
20.0 -4488.315068533059
30.0 -4551.64342074266
40.0 -4558.563244883396
50.0 -4558.798748383236
60.0 -4558.801075150526
70.0 -4558.801614143243
80.0 -4558.802518264246
90.0 -4558.80292158154
100.0 -4558.802949927192
150.0 -4558.802965581436
200.0 -4558.802973191033

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
20.0 -4488.755530605293
30.0 -4552.097904225176
40.0 -4559.017870766731
50.0 -4559.253245886167
60.0 -4559.255568538018
70.0 -4559.256107511371
80.0 -4559.257011938955
90.0 -4559.257415548725
100.0 -4559.257443903017
150.0 -4559.257459670208
200.0 -4559.257467299766

