# pseudopotential: pd04
# ecutwfc (Ry) | energy (Ry)
30.0 -230.2652851358523
40.0 -230.2682947812606
50.0 -230.2684601548568
60.0 -230.2685950784443
70.0 -230.2686402190832
80.0 -230.268805304957
90.0 -230.26891047733
100.0 -230.2689255637287
120.0 -230.269166238537
150.0 -230.2693066114165
200.0 -230.2698830409336

# pseudopotential: pd04sp
# ecutwfc (Ry) | energy (Ry)
30.0 -4826.580446469729
40.0 -4973.75678671163
50.0 -5021.697336441965
60.0 -5033.194628674544
70.0 -5035.153794753813
80.0 -5035.336406761821
90.0 -5035.34215817272
100.0 -5035.343657477836
120.0 -5035.345711463001
150.0 -5035.347343633808
200.0 -5035.349208906234

# pseudopotential: sg1510
# ecutwfc (Ry) | energy (Ry)
30.0 -214.4612006481443
40.0 -214.4730750121705
50.0 -214.4766982163842
60.0 -214.4780725321349
70.0 -214.4784043784438
80.0 -214.4784669554915
90.0 -214.4784721264883
100.0 -214.4784688961046
120.0 -214.4784770082952
150.0 -214.4784791333706
200.0 -214.4784780636316

# pseudopotential: dojo04fr
# ecutwfc (Ry) | energy (Ry)
30.0 -230.2567876471762
40.0 -230.2598076198207
50.0 -230.259973096994
60.0 -230.2601082623077
70.0 -230.2601533691632
80.0 -230.2603184593069
90.0 -230.2604237435716
100.0 -230.2604388382708
120.0 -230.2606794880335
150.0 -230.2608199066434
200.0 -230.2613963550667

# pseudopotential: dojo05
# ecutwfc (Ry) | energy (Ry)
30.0 -230.2652851363022
40.0 -230.2682947817109
50.0 -230.2684601553071
60.0 -230.2685950788946
70.0 -230.2686402195335
80.0 -230.268805305407
90.0 -230.2689104777801
100.0 -230.2689255641787
120.0 -230.2691662389869
150.0 -230.2693066118662
200.0 -230.2698830413828

# pseudopotential: pd03
# ecutwfc (Ry) | energy (Ry)
30.0 -230.2685072490067
40.0 -230.2726136791699
50.0 -230.2729042761119
60.0 -230.2732009411232
70.0 -230.2732444104299
80.0 -230.2733865491792
90.0 -230.273544197572
100.0 -230.2735771126322
120.0 -230.2737102383635
150.0 -230.2738349332066
200.0 -230.2741420735464

# pseudopotential: dojo03
# ecutwfc (Ry) | energy (Ry)
30.0 -230.2685072482663
40.0 -230.272613678426
50.0 -230.272904275368
60.0 -230.2732009403795
70.0 -230.2732444096859
80.0 -230.2733865484356
90.0 -230.2735441968284
100.0 -230.2735771118884
120.0 -230.2737102376199
150.0 -230.2738349324636
200.0 -230.2741420728036

# pseudopotential: sg1511
# ecutwfc (Ry) | energy (Ry)
30.0 -214.4869874808938
40.0 -214.4984359097649
50.0 -214.5019964783111
60.0 -214.5031168988783
70.0 -214.5033362327488
80.0 -214.5033770950923
90.0 -214.5033821344727
100.0 -214.5033794901261
120.0 -214.5033870238882
150.0 -214.5033894628034
200.0 -214.5033887431652

# pseudopotential: dojo04
# ecutwfc (Ry) | energy (Ry)
30.0 -230.2652851363022
40.0 -230.2682947817109
50.0 -230.2684601553071
60.0 -230.2685950788946
70.0 -230.2686402195335
80.0 -230.268805305407
90.0 -230.2689104777801
100.0 -230.2689255641787
120.0 -230.2691662389869
150.0 -230.2693066118662
200.0 -230.2698830413828

# pseudopotential: sg1512
# ecutwfc (Ry) | energy (Ry)
30.0 -214.4869648558643
40.0 -214.4984123266563
50.0 -214.5019727807433
60.0 -214.5030938092746
70.0 -214.503313375975
80.0 -214.5033542778552
90.0 -214.5033593081192
100.0 -214.5033566554341
120.0 -214.5033641513397
150.0 -214.5033665463315
200.0 -214.5033658381902

# pseudopotential: sg1511fr
# ecutwfc (Ry) | energy (Ry)
30.0 -214.4934672126331
40.0 -214.5049073061025
50.0 -214.5084646848715
60.0 -214.5095955479737
70.0 -214.50981542351
80.0 -214.5098571744654
90.0 -214.509862253313
100.0 -214.509859145183
120.0 -214.5098669594303
150.0 -214.5098693599496
200.0 -214.5098684895829

